,property_type,society,sector,price,persf_area,area,areaWithType,bedroom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
2804,flat,supertech araville,sector 79,1.35,9000.0,1500.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,6.0,East,New Property,1530.0,1350.0,1200.0,1.0,0.0,0.0,0.0,1.0,1.0,88.0,750.0
2805,flat,corona optus,sector 37c,1.5,6361.0,2358.12,Super Built up area 2358(219.07 sq.m.),3.0,4.0,3+,14.0,North-East,New Property,2358.0,,,0.0,1.0,0.0,0.0,1.0,0.0,83.0,786.04
2806,flat,umang monsoon breeze,sector 78,1.2,6493.0,1848.14,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3.0,3.0,2,8.0,,Moderately Old,2250.0,,1848.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,616.0466666666667
2807,flat,godrej oasis,sector 88a,1.5,8108.0,1850.02,Carpet area: 1850 (171.87 sq.m.),3.0,3.0,2,3.0,,Relatively New,,,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,616.6733333333333
2808,flat,raheja sampada,sector 92,0.9,6569.0,1370.07,Super Built up area 1370(127.28 sq.m.),3.0,2.0,3,11.0,East,Relatively New,1370.0,,,0.0,0.0,0.0,0.0,0.0,0.0,88.0,456.69
2809,flat,sare green parc phase 3,sector 92,1.08,5150.0,2097.09,Super Built up area 2090(194.17 sq.m.),4.0,4.0,2,16.0,,New Property,2090.0,,,0.0,1.0,0.0,0.0,0.0,0.0,107.0,524.2725
2810,flat,raheja navodaya,sector 92,0.62,4807.0,1289.79,Built Up area: 1498 (139.17 sq.m.)Carpet area: 1064 sq.ft. (98.85 sq.m.),2.0,2.0,2,5.0,,New Property,,1498.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.895
2811,flat,pareena mi casa,sector 68,1.7,8500.0,2000.0,Super Built up area 1999(185.71 sq.m.),4.0,4.0,3+,23.0,,New Property,1999.0,,,0.0,0.0,0.0,0.0,0.0,0.0,88.0,500.0
2812,flat,palam vihar society,sector 2,0.4,8602.0,465.01,Super Built up area 465(43.2 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),1.0,1.0,1,5.0,North,Moderately Old,465.0,450.0,425.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,465.01
2813,flat,m3m woodshire,sector 107,1.4,5929.0,2361.28,Super Built up area 2361(219.34 sq.m.),3.0,4.0,,1.0,East,New Property,2361.0,,,0.0,0.0,0.0,0.0,0.0,0.0,67.0,787.0933333333334
2814,flat,krishna appartment,sector 12,0.35,3500.0,1000.0,Super Built up area 1000(92.9 sq.m.),3.0,3.0,1,2.0,,Old Property,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3333333333333
2815,flat,spire woods now ananda by alpha corp,sector 103,1.25,6902.0,1811.07,Carpet area: 1811 (168.25 sq.m.),3.0,4.0,3,11.0,,Under Construction,,,1811.0,1.0,1.0,0.0,0.0,0.0,0.0,105.0,603.6899999999999
2816,flat,dlf regency park,sector 28,1.35,11992.0,1125.75,Built Up area: 1109 (103.03 sq.m.),2.0,2.0,2,1.0,,Moderately Old,,1109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.875
2817,flat,ansal heights 86,sector 86,1.05,5541.0,1894.96,Super Built up area 1895(176.05 sq.m.),3.0,3.0,3,9.0,North-East,Under Construction,1895.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,631.6533333333333
2818,flat,parsvnath green ville,sector 48,3.3,9984.0,3305.29,Super Built up area 3905(362.79 sq.m.)Built Up area: 3305 sq.ft. (307.04 sq.m.),5.0,5.0,3+,4.0,,Old Property,3905.0,3305.0,,0.0,1.0,0.0,0.0,0.0,0.0,71.0,661.058
2819,flat,raheja vedaanta,sector 108,0.95,5214.0,1822.02,Super Built up area 1822(169.27 sq.m.),3.0,3.0,3,3.0,,Relatively New,1822.0,,,0.0,0.0,0.0,0.0,1.0,0.0,95.0,607.34
2820,flat,ambience lagoon,sector 24,5.8,12500.0,4640.0,Built Up area: 3700 (343.74 sq.m.),3.0,4.0,3+,9.0,North-East,Old Property,,3700.0,,1.0,1.0,0.0,1.0,1.0,2.0,68.0,1546.6666666666667
2821,flat,dlf the crest,sector 54,11.0,35222.0,3123.05,Super Built up area 3123(290.14 sq.m.),4.0,6.0,3,7.0,,Relatively New,3123.0,,,0.0,1.0,0.0,0.0,0.0,2.0,125.0,780.7625
2822,house,bptp visionnaire,sector 70a,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5.0,4.0,3+,3.0,North-East,New Property,,2610.0,,0.0,1.0,0.0,0.0,0.0,1.0,49.0,522.0
2823,house,independent,sector 43,2.1,4250.0,4941.0,Plot area 61(51 sq.m.),10.0,10.0,3+,5.0,West,New Property,,549.0,,0.0,1.0,0.0,0.0,0.0,0.0,20.0,494.1
2827,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3+,3.0,East,New Property,,3240.0,,0.0,1.0,1.0,1.0,0.0,1.0,106.0,648.0
2829,house,independent,sector 25,10.85,38150.0,2844.0,Plot area 316(264.22 sq.m.),6.0,6.0,1,3.0,North-East,Relatively New,,2844.0,,0.0,0.0,1.0,0.0,0.0,1.0,136.0,474.0
2830,house,sushant lok 1 builder floors,sector 43,1.95,10078.0,1935.0,Plot area 215(179.77 sq.m.),3.0,4.0,3+,4.0,West,New Property,,1935.0,,0.0,1.0,0.0,0.0,0.0,1.0,78.0,645.0
